date,state,crop,market,variety,min_price,max_price,modal_price,arrivals,avg_price
2019-01-01,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2284,2284,2534,384,2284.0
2019-01-31,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1111,2611,1361,211,1861.0
2019-03-02,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1239,1739,1489,339,1489.0
2019-04-01,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1534,2034,1784,134,1784.0
2019-05-01,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2931,3431,3181,531,3181.0
2019-05-31,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2300,3800,2550,400,3050.0
2019-06-30,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1055,3055,1305,155,2055.0
2019-07-30,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2111,2111,2361,211,2111.0
2019-08-29,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2475,2975,2725,575,2725.0
2019-09-28,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1567,2067,1817,167,1817.0
2019-10-28,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2148,3648,2398,248,2898.0
2019-11-27,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2633,1633,2883,233,2133.0
2019-12-27,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1702,2202,1952,302,1952.0
2020-01-26,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2445,2945,2695,545,2695.0
2020-02-25,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2408,3908,2658,508,3158.0
2020-03-26,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1633,1633,1883,233,1633.0
2020-04-25,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1408,3408,1658,508,2408.0
2020-05-25,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1948,2448,2198,548,2198.0
2020-06-24,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2841,1841,3091,441,2341.0
2020-07-24,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1175,2675,1425,275,1925.0
2020-08-23,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1494,2494,1744,594,1994.0
2020-09-22,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2757,1757,3007,357,2257.0
2020-10-22,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2624,1624,2874,224,2124.0
2020-11-21,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1904,2904,2154,504,2404.0
2020-12-21,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2823,2823,3073,423,2823.0
2021-01-20,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2789,2789,3039,389,2789.0
2021-02-19,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2626,3626,2876,226,3126.0
2021-03-21,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1638,3138,1888,238,2388.0
2021-04-20,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2183,2683,2433,283,2433.0
2021-05-20,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1394,2894,1644,494,2144.0
2021-06-19,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1026,2526,1276,126,1776.0
2021-07-19,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2737,2737,2987,337,2737.0
2021-08-18,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2347,3847,2597,447,3097.0
2021-09-17,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1385,1885,1635,485,1635.0
2021-10-17,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1996,1996,2246,596,1996.0
2021-11-16,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1580,2080,1830,180,1830.0
2021-12-16,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1084,3584,1334,184,2334.0
2022-01-15,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2664,1664,2914,264,2164.0
2022-02-14,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2444,3944,2694,544,3194.0
2022-03-16,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1176,3176,1426,276,2176.0
2022-04-15,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2479,3979,2729,579,3229.0
2022-05-15,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1777,3777,2027,377,2777.0
2022-06-14,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2608,3608,2858,208,3108.0
2022-07-14,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1600,1600,1850,200,1600.0
2022-08-13,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2577,3077,2827,177,2827.0
2022-09-12,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1999,3499,2249,599,2749.0
2022-10-12,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1550,3550,1800,150,2550.0
2022-11-11,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1626,1626,1876,226,1626.0
2022-12-11,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1511,3011,1761,111,2261.0
2023-01-10,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2584,2584,2834,184,2584.0
2023-02-09,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2101,2601,2351,201,2351.0
2023-03-11,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2303,3303,2553,403,2803.0
2023-04-10,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1480,3980,1730,580,2730.0
2023-05-10,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1570,3570,1820,170,2570.0
2023-06-09,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1045,3045,1295,145,2045.0
2023-07-09,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2735,3235,2985,335,2985.0
2023-08-08,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1934,1934,2184,534,1934.0
2023-09-07,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1890,2390,2140,490,2140.0
2023-10-07,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1845,1845,2095,445,1845.0
2023-11-06,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,1957,1957,2207,557,1957.0
2023-12-06,Andhra Pradesh,Rice,Andhra Pradesh Main Market,Common,2440,2440,2690,540,2440.0
