date,state,market_name,commodity,variety,arrivals_tonnes,traded_tonnes,min_price,max_price,modal_price
2022-01-01,Maharashtra,Pune,Rice,FAQ,97,87,1947,2247,2647
2022-01-08,Maharashtra,Pune,Rice,FAQ,84,74,1634,2434,2634
2022-01-15,Maharashtra,Pune,Rice,FAQ,72,162,2322,2622,2422
2022-01-22,Maharashtra,Pune,Rice,FAQ,122,112,2272,2072,1472
2022-01-29,Maharashtra,Pune,Rice,FAQ,199,189,1749,2549,1549
2022-02-05,Maharashtra,Pune,Rice,FAQ,126,166,2176,3476,1676
2022-02-12,Maharashtra,Pune,Rice,FAQ,83,73,1033,1833,2633
2022-02-19,Maharashtra,Pune,Rice,FAQ,83,73,1333,3633,2633
2022-02-26,Maharashtra,Pune,Rice,FAQ,153,143,1103,1903,1503
2022-03-05,Maharashtra,Pune,Rice,FAQ,68,58,2218,2018,2618
2022-03-12,Maharashtra,Pune,Rice,FAQ,195,135,1245,3545,2545
2022-03-19,Maharashtra,Pune,Rice,FAQ,88,178,2038,1838,1838
2022-03-26,Maharashtra,Pune,Rice,FAQ,125,165,2475,2275,1675
2022-04-02,Maharashtra,Pune,Rice,FAQ,83,173,2333,2633,1833
2022-04-09,Maharashtra,Pune,Rice,FAQ,102,92,1652,3452,2052
2022-04-16,Maharashtra,Pune,Rice,FAQ,241,81,2391,3191,2791
2022-04-23,Maharashtra,Pune,Rice,FAQ,155,145,2305,3105,2105
2022-04-30,Maharashtra,Pune,Rice,FAQ,150,140,2300,3100,1500
2022-05-07,Maharashtra,Pune,Rice,FAQ,89,79,1939,2239,1439
2022-05-14,Maharashtra,Pune,Rice,FAQ,119,159,1569,1869,2269
2022-05-21,Maharashtra,Pune,Rice,FAQ,60,50,1010,1810,1410
2022-05-28,Maharashtra,Pune,Rice,FAQ,63,153,2313,3613,2413
2022-06-04,Maharashtra,Pune,Rice,FAQ,65,155,2015,1815,1815
2022-06-11,Maharashtra,Pune,Rice,FAQ,203,93,1653,1953,1753
2022-06-18,Maharashtra,Pune,Rice,FAQ,164,154,2014,2314,1514
2022-06-25,Maharashtra,Pune,Rice,FAQ,132,72,1782,2082,3082
2022-07-02,Maharashtra,Pune,Rice,FAQ,74,64,1024,2824,1424
2022-07-09,Maharashtra,Pune,Rice,FAQ,176,116,2126,1926,3126
2022-07-16,Maharashtra,Pune,Rice,FAQ,60,50,2210,3010,1410
2022-07-23,Maharashtra,Pune,Rice,FAQ,182,172,2332,2132,2132
2022-07-30,Maharashtra,Pune,Rice,FAQ,134,74,1484,2284,3084
2022-08-06,Maharashtra,Pune,Rice,FAQ,170,110,1220,3520,2520
2022-08-13,Maharashtra,Pune,Rice,FAQ,243,183,2493,3793,1993
2022-08-20,Maharashtra,Pune,Rice,FAQ,129,69,2079,1879,2479
2022-08-27,Maharashtra,Pune,Rice,FAQ,155,45,1905,3705,1705
2022-09-03,Maharashtra,Pune,Rice,FAQ,52,142,1402,2202,2402
2022-09-10,Maharashtra,Pune,Rice,FAQ,105,95,2255,2055,1455
2022-09-17,Maharashtra,Pune,Rice,FAQ,157,147,1407,3707,2707
2022-09-24,Maharashtra,Pune,Rice,FAQ,124,64,1174,3474,3074
2022-10-01,Maharashtra,Pune,Rice,FAQ,99,139,1849,2649,1649
2022-10-08,Maharashtra,Pune,Rice,FAQ,126,166,1276,2076,2876
2022-10-15,Maharashtra,Pune,Rice,FAQ,181,121,2131,1931,1931
2022-10-22,Maharashtra,Pune,Rice,FAQ,200,140,2450,3750,2550
2022-10-29,Maharashtra,Pune,Rice,FAQ,124,164,1574,1874,1674
2022-11-05,Maharashtra,Pune,Rice,FAQ,80,70,1630,2430,2030
2022-11-12,Maharashtra,Pune,Rice,FAQ,248,188,2498,3798,3198
2022-11-19,Maharashtra,Pune,Rice,FAQ,202,142,1252,2552,3152
2022-11-26,Maharashtra,Pune,Rice,FAQ,193,83,2243,3543,2943
2022-12-03,Maharashtra,Pune,Rice,FAQ,109,99,2259,3059,2659
2022-12-10,Maharashtra,Pune,Rice,FAQ,76,116,1226,2026,2826
2022-12-17,Maharashtra,Pune,Rice,FAQ,63,103,1513,2813,2813
2022-12-24,Maharashtra,Pune,Rice,FAQ,58,98,2108,2408,2208
2022-12-31,Maharashtra,Pune,Rice,FAQ,75,65,1325,3625,2625
2023-01-07,Maharashtra,Pune,Rice,FAQ,160,50,2210,3510,1710
2023-01-14,Maharashtra,Pune,Rice,FAQ,198,88,1948,2748,2348
2023-01-21,Maharashtra,Pune,Rice,FAQ,161,151,1411,2711,1511
2023-01-28,Maharashtra,Pune,Rice,FAQ,81,121,1231,3031,2231
2023-02-04,Maharashtra,Pune,Rice,FAQ,101,41,1451,2251,1851
2023-02-11,Maharashtra,Pune,Rice,FAQ,150,140,1700,2500,2100
2023-02-18,Maharashtra,Pune,Rice,FAQ,161,101,1511,3311,2511
2023-02-25,Maharashtra,Pune,Rice,FAQ,149,139,1399,3699,2699
2023-03-04,Maharashtra,Pune,Rice,FAQ,207,97,1357,2157,2357
2023-03-11,Maharashtra,Pune,Rice,FAQ,116,156,2166,2466,2866
2023-03-18,Maharashtra,Pune,Rice,FAQ,114,54,2064,1864,3064
2023-03-25,Maharashtra,Pune,Rice,FAQ,165,55,1915,2715,1715
2023-04-01,Maharashtra,Pune,Rice,FAQ,123,113,1373,2673,2673
2023-04-08,Maharashtra,Pune,Rice,FAQ,160,100,1510,3310,3110
