year,state,district,crop,area_hectares,production_tonnes,yield_tonnes_per_hectare,irrigated_area_hectares,rainfed_area_hectares
2019,Punjab,Ludhiana,Rice,32197.2,80493.0,2.5,22538.0,9659.2
2020,Punjab,Ludhiana,Rice,32197.2,80493.0,2.5,22538.0,9659.2
2021,Punjab,Ludhiana,Rice,32197.2,80493.0,2.5,22538.0,9659.2
2022,Punjab,Ludhiana,Rice,32197.2,80493.0,2.5,22538.0,9659.2
2023,Punjab,Ludhiana,Rice,32197.2,80493.0,2.5,22538.0,9659.2
2024,Punjab,Ludhiana,Rice,32197.2,80493.0,2.5,22538.0,9659.2
2019,Punjab,Ludhiana,Wheat,21018.0,67257.6,3.2,14712.6,6305.4
2020,Punjab,Ludhiana,Wheat,21018.0,67257.6,3.2,14712.6,6305.4
2021,Punjab,Ludhiana,Wheat,21018.0,67257.6,3.2,14712.6,6305.4
2022,Punjab,Ludhiana,Wheat,21018.0,67257.6,3.2,14712.6,6305.4
2023,Punjab,Ludhiana,Wheat,21018.0,67257.6,3.2,14712.6,6305.4
2024,Punjab,Ludhiana,Wheat,21018.0,67257.6,3.2,14712.6,6305.4
2019,Punjab,Ludhiana,Cotton,43423.2,21711.6,0.5,30396.2,13027.0
2020,Punjab,Ludhiana,Cotton,43423.2,21711.6,0.5,30396.2,13027.0
2021,Punjab,Ludhiana,Cotton,43423.2,21711.6,0.5,30396.2,13027.0
2022,Punjab,Ludhiana,Cotton,43423.2,21711.6,0.5,30396.2,13027.0
2023,Punjab,Ludhiana,Cotton,43423.2,21711.6,0.5,30396.2,13027.0
2024,Punjab,Ludhiana,Cotton,43423.2,21711.6,0.5,30396.2,13027.0
2019,Punjab,Ludhiana,Sugarcane,9109.5,637665.0,70.0,6376.6,2732.8
2020,Punjab,Ludhiana,Sugarcane,9109.5,637665.0,70.0,6376.6,2732.8
2021,Punjab,Ludhiana,Sugarcane,9109.5,637665.0,70.0,6376.6,2732.8
2022,Punjab,Ludhiana,Sugarcane,9109.5,637665.0,70.0,6376.6,2732.8
2023,Punjab,Ludhiana,Sugarcane,9109.5,637665.0,70.0,6376.6,2732.8
2024,Punjab,Ludhiana,Sugarcane,9109.5,637665.0,70.0,6376.6,2732.8
2019,Punjab,Ludhiana,Soybean,20157.3,22173.0,1.1,14110.1,6047.2
2020,Punjab,Ludhiana,Soybean,20157.3,22173.0,1.1,14110.1,6047.2
2021,Punjab,Ludhiana,Soybean,20157.3,22173.0,1.1,14110.1,6047.2
2022,Punjab,Ludhiana,Soybean,20157.3,22173.0,1.1,14110.1,6047.2
2023,Punjab,Ludhiana,Soybean,20157.3,22173.0,1.1,14110.1,6047.2
2024,Punjab,Ludhiana,Soybean,20157.3,22173.0,1.1,14110.1,6047.2
2019,Punjab,Ludhiana,Maize,23636.9,66183.3,2.8,16545.8,7091.1
2020,Punjab,Ludhiana,Maize,23636.9,66183.3,2.8,16545.8,7091.1
2021,Punjab,Ludhiana,Maize,23636.9,66183.3,2.8,16545.8,7091.1
2022,Punjab,Ludhiana,Maize,23636.9,66183.3,2.8,16545.8,7091.1
2023,Punjab,Ludhiana,Maize,23636.9,66183.3,2.8,16545.8,7091.1
2024,Punjab,Ludhiana,Maize,23636.9,66183.3,2.8,16545.8,7091.1
2019,Punjab,Ludhiana,Groundnut,22752.0,31852.8,1.4,15926.4,6825.6
2020,Punjab,Ludhiana,Groundnut,22752.0,31852.8,1.4,15926.4,6825.6
2021,Punjab,Ludhiana,Groundnut,22752.0,31852.8,1.4,15926.4,6825.6
2022,Punjab,Ludhiana,Groundnut,22752.0,31852.8,1.4,15926.4,6825.6
2023,Punjab,Ludhiana,Groundnut,22752.0,31852.8,1.4,15926.4,6825.6
2024,Punjab,Ludhiana,Groundnut,22752.0,31852.8,1.4,15926.4,6825.6
2019,Punjab,Ludhiana,Onion,5982.2,107679.6,18.0,4187.5,1794.7
2020,Punjab,Ludhiana,Onion,5982.2,107679.6,18.0,4187.5,1794.7
2021,Punjab,Ludhiana,Onion,5982.2,107679.6,18.0,4187.5,1794.7
2022,Punjab,Ludhiana,Onion,5982.2,107679.6,18.0,4187.5,1794.7
2023,Punjab,Ludhiana,Onion,5982.2,107679.6,18.0,4187.5,1794.7
2024,Punjab,Ludhiana,Onion,5982.2,107679.6,18.0,4187.5,1794.7
2019,Punjab,Amritsar,Rice,20102.4,50256.0,2.5,14071.7,6030.7
2020,Punjab,Amritsar,Rice,20102.4,50256.0,2.5,14071.7,6030.7
2021,Punjab,Amritsar,Rice,20102.4,50256.0,2.5,14071.7,6030.7
2022,Punjab,Amritsar,Rice,20102.4,50256.0,2.5,14071.7,6030.7
2023,Punjab,Amritsar,Rice,20102.4,50256.0,2.5,14071.7,6030.7
2024,Punjab,Amritsar,Rice,20102.4,50256.0,2.5,14071.7,6030.7
2019,Punjab,Amritsar,Wheat,15603.0,49929.6,3.2,10922.1,4680.9
2020,Punjab,Amritsar,Wheat,15603.0,49929.6,3.2,10922.1,4680.9
2021,Punjab,Amritsar,Wheat,15603.0,49929.6,3.2,10922.1,4680.9
2022,Punjab,Amritsar,Wheat,15603.0,49929.6,3.2,10922.1,4680.9
2023,Punjab,Amritsar,Wheat,15603.0,49929.6,3.2,10922.1,4680.9
2024,Punjab,Amritsar,Wheat,15603.0,49929.6,3.2,10922.1,4680.9
2019,Punjab,Amritsar,Cotton,25764.8,12882.4,0.5,18035.4,7729.4
2020,Punjab,Amritsar,Cotton,25764.8,12882.4,0.5,18035.4,7729.4
2021,Punjab,Amritsar,Cotton,25764.8,12882.4,0.5,18035.4,7729.4
2022,Punjab,Amritsar,Cotton,25764.8,12882.4,0.5,18035.4,7729.4
2023,Punjab,Amritsar,Cotton,25764.8,12882.4,0.5,18035.4,7729.4
2024,Punjab,Amritsar,Cotton,25764.8,12882.4,0.5,18035.4,7729.4
2019,Punjab,Amritsar,Sugarcane,6520.8,456456.0,70.0,4564.6,1956.2
2020,Punjab,Amritsar,Sugarcane,6520.8,456456.0,70.0,4564.6,1956.2
2021,Punjab,Amritsar,Sugarcane,6520.8,456456.0,70.0,4564.6,1956.2
2022,Punjab,Amritsar,Sugarcane,6520.8,456456.0,70.0,4564.6,1956.2
2023,Punjab,Amritsar,Sugarcane,6520.8,456456.0,70.0,4564.6,1956.2
2024,Punjab,Amritsar,Sugarcane,6520.8,456456.0,70.0,4564.6,1956.2
2019,Punjab,Amritsar,Soybean,51198.3,56318.1,1.1,35838.8,15359.5
2020,Punjab,Amritsar,Soybean,51198.3,56318.1,1.1,35838.8,15359.5
2021,Punjab,Amritsar,Soybean,51198.3,56318.1,1.1,35838.8,15359.5
2022,Punjab,Amritsar,Soybean,51198.3,56318.1,1.1,35838.8,15359.5
2023,Punjab,Amritsar,Soybean,51198.3,56318.1,1.1,35838.8,15359.5
2024,Punjab,Amritsar,Soybean,51198.3,56318.1,1.1,35838.8,15359.5
2019,Punjab,Amritsar,Maize,16744.0,46883.2,2.8,11720.8,5023.2
2020,Punjab,Amritsar,Maize,16744.0,46883.2,2.8,11720.8,5023.2
2021,Punjab,Amritsar,Maize,16744.0,46883.2,2.8,11720.8,5023.2
2022,Punjab,Amritsar,Maize,16744.0,46883.2,2.8,11720.8,5023.2
2023,Punjab,Amritsar,Maize,16744.0,46883.2,2.8,11720.8,5023.2
2024,Punjab,Amritsar,Maize,16744.0,46883.2,2.8,11720.8,5023.2
2019,Punjab,Amritsar,Groundnut,9675.6,13545.8,1.4,6772.9,2902.7
2020,Punjab,Amritsar,Groundnut,9675.6,13545.8,1.4,6772.9,2902.7
2021,Punjab,Amritsar,Groundnut,9675.6,13545.8,1.4,6772.9,2902.7
2022,Punjab,Amritsar,Groundnut,9675.6,13545.8,1.4,6772.9,2902.7
2023,Punjab,Amritsar,Groundnut,9675.6,13545.8,1.4,6772.9,2902.7
2024,Punjab,Amritsar,Groundnut,9675.6,13545.8,1.4,6772.9,2902.7
2019,Punjab,Amritsar,Onion,10012.4,180223.2,18.0,7008.7,3003.7
2020,Punjab,Amritsar,Onion,10012.4,180223.2,18.0,7008.7,3003.7
2021,Punjab,Amritsar,Onion,10012.4,180223.2,18.0,7008.7,3003.7
2022,Punjab,Amritsar,Onion,10012.4,180223.2,18.0,7008.7,3003.7
2023,Punjab,Amritsar,Onion,10012.4,180223.2,18.0,7008.7,3003.7
2024,Punjab,Amritsar,Onion,10012.4,180223.2,18.0,7008.7,3003.7
2019,Punjab,Jalandhar,Rice,37004.4,92511.0,2.5,25903.1,11101.3
2020,Punjab,Jalandhar,Rice,37004.4,92511.0,2.5,25903.1,11101.3
2021,Punjab,Jalandhar,Rice,37004.4,92511.0,2.5,25903.1,11101.3
2022,Punjab,Jalandhar,Rice,37004.4,92511.0,2.5,25903.1,11101.3
2023,Punjab,Jalandhar,Rice,37004.4,92511.0,2.5,25903.1,11101.3
2024,Punjab,Jalandhar,Rice,37004.4,92511.0,2.5,25903.1,11101.3
2019,Punjab,Jalandhar,Wheat,28046.0,89747.2,3.2,19632.2,8413.8
2020,Punjab,Jalandhar,Wheat,28046.0,89747.2,3.2,19632.2,8413.8
2021,Punjab,Jalandhar,Wheat,28046.0,89747.2,3.2,19632.2,8413.8
2022,Punjab,Jalandhar,Wheat,28046.0,89747.2,3.2,19632.2,8413.8
2023,Punjab,Jalandhar,Wheat,28046.0,89747.2,3.2,19632.2,8413.8
2024,Punjab,Jalandhar,Wheat,28046.0,89747.2,3.2,19632.2,8413.8
2019,Punjab,Jalandhar,Cotton,42586.4,21293.2,0.5,29810.5,12775.9
2020,Punjab,Jalandhar,Cotton,42586.4,21293.2,0.5,29810.5,12775.9
2021,Punjab,Jalandhar,Cotton,42586.4,21293.2,0.5,29810.5,12775.9
2022,Punjab,Jalandhar,Cotton,42586.4,21293.2,0.5,29810.5,12775.9
2023,Punjab,Jalandhar,Cotton,42586.4,21293.2,0.5,29810.5,12775.9
2024,Punjab,Jalandhar,Cotton,42586.4,21293.2,0.5,29810.5,12775.9
2019,Punjab,Jalandhar,Sugarcane,6477.9,453453.0,70.0,4534.5,1943.4
2020,Punjab,Jalandhar,Sugarcane,6477.9,453453.0,70.0,4534.5,1943.4
2021,Punjab,Jalandhar,Sugarcane,6477.9,453453.0,70.0,4534.5,1943.4
2022,Punjab,Jalandhar,Sugarcane,6477.9,453453.0,70.0,4534.5,1943.4
2023,Punjab,Jalandhar,Sugarcane,6477.9,453453.0,70.0,4534.5,1943.4
2024,Punjab,Jalandhar,Sugarcane,6477.9,453453.0,70.0,4534.5,1943.4
2019,Punjab,Jalandhar,Soybean,49867.2,54853.9,1.1,34907.0,14960.2
2020,Punjab,Jalandhar,Soybean,49867.2,54853.9,1.1,34907.0,14960.2
2021,Punjab,Jalandhar,Soybean,49867.2,54853.9,1.1,34907.0,14960.2
2022,Punjab,Jalandhar,Soybean,49867.2,54853.9,1.1,34907.0,14960.2
2023,Punjab,Jalandhar,Soybean,49867.2,54853.9,1.1,34907.0,14960.2
2024,Punjab,Jalandhar,Soybean,49867.2,54853.9,1.1,34907.0,14960.2
2019,Punjab,Jalandhar,Maize,25679.5,71902.6,2.8,17975.6,7703.8
2020,Punjab,Jalandhar,Maize,25679.5,71902.6,2.8,17975.6,7703.8
2021,Punjab,Jalandhar,Maize,25679.5,71902.6,2.8,17975.6,7703.8
2022,Punjab,Jalandhar,Maize,25679.5,71902.6,2.8,17975.6,7703.8
2023,Punjab,Jalandhar,Maize,25679.5,71902.6,2.8,17975.6,7703.8
2024,Punjab,Jalandhar,Maize,25679.5,71902.6,2.8,17975.6,7703.8
2019,Punjab,Jalandhar,Groundnut,20988.6,29384.0,1.4,14692.0,6296.6
2020,Punjab,Jalandhar,Groundnut,20988.6,29384.0,1.4,14692.0,6296.6
2021,Punjab,Jalandhar,Groundnut,20988.6,29384.0,1.4,14692.0,6296.6
2022,Punjab,Jalandhar,Groundnut,20988.6,29384.0,1.4,14692.0,6296.6
2023,Punjab,Jalandhar,Groundnut,20988.6,29384.0,1.4,14692.0,6296.6
2024,Punjab,Jalandhar,Groundnut,20988.6,29384.0,1.4,14692.0,6296.6
2019,Punjab,Jalandhar,Onion,9475.0,170550.0,18.0,6632.5,2842.5
2020,Punjab,Jalandhar,Onion,9475.0,170550.0,18.0,6632.5,2842.5
2021,Punjab,Jalandhar,Onion,9475.0,170550.0,18.0,6632.5,2842.5
2022,Punjab,Jalandhar,Onion,9475.0,170550.0,18.0,6632.5,2842.5
2023,Punjab,Jalandhar,Onion,9475.0,170550.0,18.0,6632.5,2842.5
2024,Punjab,Jalandhar,Onion,9475.0,170550.0,18.0,6632.5,2842.5
2019,Punjab,Patiala,Rice,52310.4,130776.0,2.5,36617.3,15693.1
2020,Punjab,Patiala,Rice,52310.4,130776.0,2.5,36617.3,15693.1
2021,Punjab,Patiala,Rice,52310.4,130776.0,2.5,36617.3,15693.1
2022,Punjab,Patiala,Rice,52310.4,130776.0,2.5,36617.3,15693.1
2023,Punjab,Patiala,Rice,52310.4,130776.0,2.5,36617.3,15693.1
2024,Punjab,Patiala,Rice,52310.4,130776.0,2.5,36617.3,15693.1
2019,Punjab,Patiala,Wheat,34183.0,109385.6,3.2,23928.1,10254.9
2020,Punjab,Patiala,Wheat,34183.0,109385.6,3.2,23928.1,10254.9
2021,Punjab,Patiala,Wheat,34183.0,109385.6,3.2,23928.1,10254.9
2022,Punjab,Patiala,Wheat,34183.0,109385.6,3.2,23928.1,10254.9
2023,Punjab,Patiala,Wheat,34183.0,109385.6,3.2,23928.1,10254.9
2024,Punjab,Patiala,Wheat,34183.0,109385.6,3.2,23928.1,10254.9
2019,Punjab,Patiala,Cotton,47652.8,23826.4,0.5,33357.0,14295.8
2020,Punjab,Patiala,Cotton,47652.8,23826.4,0.5,33357.0,14295.8
2021,Punjab,Patiala,Cotton,47652.8,23826.4,0.5,33357.0,14295.8
2022,Punjab,Patiala,Cotton,47652.8,23826.4,0.5,33357.0,14295.8
2023,Punjab,Patiala,Cotton,47652.8,23826.4,0.5,33357.0,14295.8
2024,Punjab,Patiala,Cotton,47652.8,23826.4,0.5,33357.0,14295.8
2019,Punjab,Patiala,Sugarcane,13900.2,973014.0,70.0,9730.1,4170.1
2020,Punjab,Patiala,Sugarcane,13900.2,973014.0,70.0,9730.1,4170.1
2021,Punjab,Patiala,Sugarcane,13900.2,973014.0,70.0,9730.1,4170.1
2022,Punjab,Patiala,Sugarcane,13900.2,973014.0,70.0,9730.1,4170.1
2023,Punjab,Patiala,Sugarcane,13900.2,973014.0,70.0,9730.1,4170.1
2024,Punjab,Patiala,Sugarcane,13900.2,973014.0,70.0,9730.1,4170.1
2019,Punjab,Patiala,Soybean,27976.5,30774.2,1.1,19583.5,8392.9
2020,Punjab,Patiala,Soybean,27976.5,30774.2,1.1,19583.5,8392.9
2021,Punjab,Patiala,Soybean,27976.5,30774.2,1.1,19583.5,8392.9
2022,Punjab,Patiala,Soybean,27976.5,30774.2,1.1,19583.5,8392.9
2023,Punjab,Patiala,Soybean,27976.5,30774.2,1.1,19583.5,8392.9
2024,Punjab,Patiala,Soybean,27976.5,30774.2,1.1,19583.5,8392.9
2019,Punjab,Patiala,Maize,32424.0,90787.2,2.8,22696.8,9727.2
2020,Punjab,Patiala,Maize,32424.0,90787.2,2.8,22696.8,9727.2
2021,Punjab,Patiala,Maize,32424.0,90787.2,2.8,22696.8,9727.2
2022,Punjab,Patiala,Maize,32424.0,90787.2,2.8,22696.8,9727.2
2023,Punjab,Patiala,Maize,32424.0,90787.2,2.8,22696.8,9727.2
2024,Punjab,Patiala,Maize,32424.0,90787.2,2.8,22696.8,9727.2
2019,Punjab,Patiala,Groundnut,11647.8,16306.9,1.4,8153.5,3494.3
2020,Punjab,Patiala,Groundnut,11647.8,16306.9,1.4,8153.5,3494.3
2021,Punjab,Patiala,Groundnut,11647.8,16306.9,1.4,8153.5,3494.3
2022,Punjab,Patiala,Groundnut,11647.8,16306.9,1.4,8153.5,3494.3
2023,Punjab,Patiala,Groundnut,11647.8,16306.9,1.4,8153.5,3494.3
2024,Punjab,Patiala,Groundnut,11647.8,16306.9,1.4,8153.5,3494.3
2019,Punjab,Patiala,Onion,2337.2,42069.6,18.0,1636.0,701.2
2020,Punjab,Patiala,Onion,2337.2,42069.6,18.0,1636.0,701.2
2021,Punjab,Patiala,Onion,2337.2,42069.6,18.0,1636.0,701.2
2022,Punjab,Patiala,Onion,2337.2,42069.6,18.0,1636.0,701.2
2023,Punjab,Patiala,Onion,2337.2,42069.6,18.0,1636.0,701.2
2024,Punjab,Patiala,Onion,2337.2,42069.6,18.0,1636.0,701.2
