date,state,district,latitude,longitude,temperature_max,temperature_min,humidity,rainfall,wind_speed,pressure
2019-01-01,Punjab,Ludhiana,30.9,75.85,16.6,7.6,87,0,17,1017
2019-01-02,Punjab,Ludhiana,30.9,75.85,10.6,9.6,61,0,6,1011
2019-01-03,Punjab,Ludhiana,30.9,75.85,11.6,4.6,72,0,17,1022
2019-01-04,Punjab,Ludhiana,30.9,75.85,15.6,4.6,76,0,6,1026
2019-01-05,Punjab,Ludhiana,30.9,75.85,17.6,10.6,78,0,8,1028
2019-01-06,Punjab,Ludhiana,30.9,75.85,14.6,5.6,85,5,15,1015
2019-01-07,Punjab,Ludhiana,30.9,75.85,14.6,9.6,65,0,10,1015
2019-01-08,Punjab,Ludhiana,30.9,75.85,11.6,10.6,62,0,7,1012
2019-01-09,Punjab,Ludhiana,30.9,75.85,15.6,4.6,76,0,6,1026
2019-01-10,Punjab,Ludhiana,30.9,75.85,13.6,8.6,74,0,19,1014
2019-01-11,Punjab,Ludhiana,30.9,75.85,16.6,7.6,67,0,12,1017
2019-01-12,Punjab,Ludhiana,30.9,75.85,17.6,6.6,78,0,8,1028
2019-01-13,Punjab,Ludhiana,30.9,75.85,12.6,5.6,63,0,8,1023
2019-01-14,Punjab,Ludhiana,30.9,75.85,18.6,7.6,89,0,19,1029
2019-01-15,Punjab,Ludhiana,30.9,75.85,13.6,10.6,74,0,19,1024
2019-01-16,Punjab,Ludhiana,30.9,75.85,11.6,6.6,72,0,17,1012
2019-01-17,Punjab,Ludhiana,30.9,75.85,9.6,8.6,80,0,10,1010
2019-01-18,Punjab,Ludhiana,30.9,75.85,13.6,4.6,74,0,19,1014
2019-01-19,Punjab,Ludhiana,30.9,75.85,12.6,7.6,73,0,18,1013
2019-01-20,Punjab,Ludhiana,30.9,75.85,16.6,11.6,87,0,17,1017
2019-01-21,Punjab,Ludhiana,30.9,75.85,9.6,6.6,60,0,5,1020
2019-01-22,Punjab,Ludhiana,30.9,75.85,18.6,11.6,79,0,9,1029
2019-01-23,Punjab,Ludhiana,30.9,75.85,14.6,7.6,75,5,5,1025
2019-01-24,Punjab,Ludhiana,30.9,75.85,16.6,7.6,67,0,12,1017
2019-01-25,Punjab,Ludhiana,30.9,75.85,14.6,9.6,85,5,15,1015
2019-01-26,Punjab,Ludhiana,30.9,75.85,13.6,8.6,64,0,9,1014
2019-01-27,Punjab,Ludhiana,30.9,75.85,17.6,4.6,88,0,18,1018
2019-01-28,Punjab,Ludhiana,30.9,75.85,10.6,11.6,61,1,6,1021
2019-01-29,Punjab,Ludhiana,30.9,75.85,15.6,8.6,76,0,6,1026
2019-01-30,Punjab,Ludhiana,30.9,75.85,9.6,6.6,60,0,5,1020
2019-01-31,Punjab,Ludhiana,30.9,75.85,18.6,7.6,89,9,19,1029
2019-02-01,Punjab,Ludhiana,30.9,75.85,17.6,8.6,78,0,8,1018
2019-02-02,Punjab,Ludhiana,30.9,75.85,9.6,4.6,70,0,15,1010
2019-02-03,Punjab,Ludhiana,30.9,75.85,9.6,6.6,80,0,10,1020
2019-02-04,Punjab,Ludhiana,30.9,75.85,16.6,5.6,87,0,17,1027
2019-02-05,Punjab,Ludhiana,30.9,75.85,10.6,9.6,81,0,11,1011
2019-02-06,Punjab,Ludhiana,30.9,75.85,13.6,4.6,84,0,14,1014
2019-02-07,Punjab,Ludhiana,30.9,75.85,17.6,10.6,88,0,18,1028
2019-02-08,Punjab,Ludhiana,30.9,75.85,18.6,5.6,79,0,9,1019
2019-02-09,Punjab,Ludhiana,30.9,75.85,13.6,10.6,64,0,9,1024
2019-02-10,Punjab,Ludhiana,30.9,75.85,12.6,11.6,63,0,8,1013
2019-02-11,Punjab,Ludhiana,30.9,75.85,9.6,10.6,80,0,10,1020
2019-02-12,Punjab,Ludhiana,30.9,75.85,12.6,11.6,63,0,8,1013
2019-02-13,Punjab,Ludhiana,30.9,75.85,18.6,9.6,89,0,19,1019
2019-02-14,Punjab,Ludhiana,30.9,75.85,14.6,7.6,75,0,5,1025
2019-02-15,Punjab,Ludhiana,30.9,75.85,10.6,7.6,81,0,11,1021
2019-02-16,Punjab,Ludhiana,30.9,75.85,14.6,7.6,75,0,5,1025
2019-02-17,Punjab,Ludhiana,30.9,75.85,11.6,10.6,82,2,12,1012
2019-02-18,Punjab,Ludhiana,30.9,75.85,9.6,4.6,60,0,5,1010
2019-02-19,Punjab,Ludhiana,30.9,75.85,13.6,4.6,64,4,9,1014
2019-02-20,Punjab,Ludhiana,30.9,75.85,14.6,5.6,65,0,10,1015
